Feature1,Feature2
0.453840089054775,0.0993118523069933
0.449232301034836,0.0919504123879221
0.454675447922656,0.0929329718800453
0.45412857295248,0.0931206158765639
0.452902115322973,0.0801013711128196
0.453444825441626,0.105872021239954
0.453384717220394,0.0894454436059618
0.445429547585643,0.108555015187936
0.443906190423415,0.0722546786419971
0.442807225494002,0.102084887311852
0.439146794560067,0.116569461115369
0.438770126427364,0.0939915854506079
0.431543534611402,0.118110312878782
0.429937509958956,0.102308105035806
0.439363249365571,0.130549013636377
0.439190612851879,0.109012893428103
0.436569385595405,0.121817357902864
0.437573483668856,0.110613323713012
0.429642696980837,0.124182004855003
0.445857700680757,0.0644256607318517
0.430616288201785,0.119782146049358
0.426885403010739,0.137741010583364
0.387167550868131,0.121808887974372
0.427486184425265,0.131782266323317
0.42667382052226,0.123948974870508
0.426349383942909,0.156622514916215
0.421111543310547,0.134246912842266
0.421869113115536,0.151445720638936
0.419231297683153,0.124173643333335
0.423763275462257,0.141923240239277
0.45737471522564,0.0731583348887937
0.423760203960981,0.135940598211914
0.421283686579524,0.144620548129961
0.423706789385075,0.149139041876707
0.424448278596454,0.150292414869419
0.422248576398324,0.151699861906218
0.41238035110253,0.148008307469337
0.419596063448261,0.133529204855041
0.415114410231845,0.169400667401868
0.417011501110011,0.147804603761157
0.416826818563141,0.162178631512417
0.455200916057045,0.0625002391994369
0.40277209935458,0.13619176098017
0.409988141271923,0.154112853083292
0.40735756210405,0.132432519905999
0.412554754337405,0.146112189008979
0.408175854719521,0.125847614863619
0.457540935118025,0.0710170965405017
0.458301893806654,0.0668279928227784
0.460592310546398,0.073543349399849
